static/images/obj100__0.png,0.9365386,1.013582,21768.785,1
static/images/obj100__10.png,1.2311376,1.000294,15617.43,1
static/images/obj100__100.png,1.2612565,1.2741964,40213.125,1
static/images/obj100__105.png,1.0046993,1.1882212,25398.113,1
static/images/obj100__110.png,1.0436091,1.2264252,19874.084,1
static/images/obj100__115.png,0.7663684,0.8570603,39447.234,1
static/images/obj100__120.png,0.8264725,1.1452925,35976.027,1
static/images/obj100__125.png,0.8082602,0.9003122,24151.764,1
static/images/obj100__130.png,0.81571823,1.1248221,15164.258,1
static/images/obj100__135.png,0.8793287,0.8279301,30482.346,1
static/images/obj100__140.png,0.86605215,0.7851481,16205.621,1
static/images/obj100__145.png,0.95464694,0.9445024,9539.386,1
static/images/obj100__15.png,0.94540906,1.0454204,7201.0024,1
static/images/obj100__150.png,0.9414779,1.2159637,12641.542,1
static/images/obj100__155.png,0.9869691,1.0710061,16727.508,1
static/images/obj100__160.png,0.957463,1.1517036,18973.027,1
static/images/obj100__165.png,0.980887,1.0690175,20852.246,1
static/images/obj100__170.png,0.9072505,1.5452249,33917.37,1
static/images/obj100__175.png,0.9457182,1.3105276,8993.464,1
static/images/obj100__180.png,1.0952015,1.2525495,25655.771,1
static/images/obj100__185.png,0.92197996,1.3528831,16156.088,1
static/images/obj100__190.png,1.1681569,1.2666556,103546.766,1
static/images/obj100__195.png,0.98087317,1.9450448,60527.758,1
static/images/obj100__20.png,0.92347467,0.9902768,11847.597,1
static/images/obj100__200.png,0.9629721,1.3766321,18113.004,1
static/images/obj100__205.png,0.9705283,1.1417801,18895.316,1
static/images/obj100__210.png,0.98563576,1.16539,17110.406,1
static/images/obj100__215.png,0.9210473,0.8096525,54541.22,1
static/images/obj100__220.png,0.8633709,0.8412547,24404.354,1
static/images/obj100__225.png,0.97402734,0.9437077,29440.523,1
static/images/obj100__230.png,0.7733604,0.8792341,21582.266,1
static/images/obj100__235.png,0.9463222,1.0805464,22468.951,1
static/images/obj100__240.png,0.9360674,1.1143577,24182.824,1
static/images/obj100__245.png,0.86478907,1.0767717,27442.688,1
static/images/obj100__25.png,0.95196664,1.0572643,16576.156,1
static/images/obj100__250.png,0.7136393,0.8063185,32291.346,1
static/images/obj100__255.png,1.0028092,1.9097292,1.0005667,1
static/images/obj100__260.png,1.0028092,1.0349529,1.0005667,1
static/images/obj100__265.png,1.0028092,1.0349529,1.0005667,1
static/images/obj100__270.png,1.0028092,1.0349529,1.0005667,1
static/images/obj100__275.png,1.0028092,1.0349529,1.0005667,1
static/images/obj100__280.png,1.0028092,1.0349529,1.0005667,1
static/images/obj100__285.png,1.0028092,1.0349529,1.0005667,1
static/images/obj100__290.png,0.6975882,0.88696355,54441.883,1
static/images/obj100__295.png,0.747875,0.9399633,39373.95,1
static/images/obj100__30.png,0.9960029,1.0734873,4017.4517,1
static/images/obj100__300.png,0.7323987,0.96512616,32457.088,1
static/images/obj100__305.png,0.76639783,0.88250864,22411.332,1
static/images/obj100__310.png,0.8468782,1.0687337,24382.887,1
static/images/obj100__315.png,0.8731868,1.1320333,27611.809,1
